playerId,name,position,team,birthDate,weight,height,nationality,shootsCatches,primaryNumber,primaryPosition
8474049,Akim Aliu,R,CGY,1989-04-24,225.0,"6' 4""",NGA,R,29,R
8481033,Akira Schmid,G,NJD,2000-05-12,205.0,"6' 5""",CHE,L,40,G
8471219,Al Montoya,G,EDM,1985-02-13,200.0,"6' 2""",USA,L,35,G
8476409,Alan Quine,C,CGY,1993-02-25,203.0,"6' 0""",CAN,L,89,C
8474166,Alec Martinez,D,VGK,1987-07-26,209.0,"6' 1""",USA,L,27,D
8480831,Alec Regula,D,CHI,2000-08-06,208.0,"6' 4""",USA,R,75,D
8477493,Aleksander Barkov,C,FLA,1995-09-02,213.0,"6' 3""",FIN,L,16,C
8480037,Aleksi Heponiemi,C,FLA,1999-01-09,155.0,"5' 10""",FIN,L,20,C
8478839,Aleksi Saarela,C,FLA,1997-01-07,200.0,"5' 10""",FIN,L,15,C
8469466,Ales Hemsky,R,MTL,1983-08-13,177.0,"6' 0""",CZE,R,83,R
8467502,Ales Kotalik,R,CGY,1978-12-23,225.0,"6' 1""",CZE,R,12,R
8467913,Alex Auld,G,OTT,1981-01-07,215.0,"6' 4""",CAN,L,35,G
8479718,Alex Barr-Boulet,C,TBL,1997-05-21,180.0,"5' 10""",CAN,L,60,C
8475968,Alex Belzile,R,MTL,1991-08-31,196.0,"6' 0""",CAN,R,60,R
8473415,Alex Biega,D,TOR,1988-04-04,199.0,"5' 10""",CAN,R,55,D
8476283,Alex Broadhurst,C,CBJ,1993-03-07,178.0,"6' 0""",USA,L,25,C
8475163,Alex Chiasson,R,DET,1990-10-01,208.0,"6' 4""",CAN,R,39,R
8479337,Alex DeBrincat,R,OTT,1997-12-18,165.0,"5' 7""",USA,R,12,L
8480029,Alex Formenton,L,OTT,1999-09-13,165.0,"6' 2""",CAN,L,59,L
8475836,Alex Friesen,C,VAN,1991-01-30,186.0,"5' 9""",CAN,L,53,C
8468500,Alex Frolov,L,NYR,1982-06-19,210.0,"6' 2""",RUS,R,31,L
8476851,Alex Galchenyuk,C,COL,1994-02-12,207.0,"6' 1""",USA,L,17,C
8471274,Alex Goligoski,D,MIN,1985-07-30,185.0,"5' 11""",USA,L,33,D
8474005,Alex Grant,D,ARI,1989-01-20,210.0,"6' 3""",CAN,R,28,D
8467392,Alex Henry,D,MTL,1979-10-18,231.0,"6' 6""",CAN,L,24,D
8480113,Alex Iafallo,L,LAK,1993-12-21,188.0,"6' 0""",USA,L,19,L
8476435,Alex Khokhlachev,C,BOS,1993-09-09,181.0,"5' 10""",RUS,L,76,C
8473986,Alex Killorn,L,TBL,1989-09-14,196.0,"6' 1""",CAN,L,17,L
8458529,Alex Kovalev,R,FLA,1973-02-24,222.0,"6' 2""",RUS,L,27,R
8479312,Alex Lyon,G,FLA,1992-12-09,201.0,"6' 1""",USA,L,34,G
8477968,Alex Nedeljkovic,G,DET,1996-01-07,189.0,"6' 0""",USA,L,39,G
8481618,Alex Newhook,C,COL,2001-01-28,190.0,"5' 10""",CAN,L,18,C
8479423,Alex Nylander,L,CHI,1998-03-02,192.0,"6' 1""",CAN,R,92,R
8471214,Alex Ovechkin,L,WSH,1985-09-17,235.0,"6' 3""",RUS,R,8,L
8474565,Alex Pietrangelo,D,VGK,1990-01-18,210.0,"6' 3""",CAN,R,27,D
8474046,Alex Plante,D,EDM,1989-05-09,230.0,"6' 4""",CAN,R,48,D
8471774,Alex Stalock,G,CHI,1987-07-28,198.0,"6' 0""",USA,L,32,G
8482634,Alex Steeves,C,TOR,1999-12-10,185.0,"5' 11""",USA,L,46,C
8467338,Alex Tanguay,L,ARI,1979-11-21,194.0,"6' 1""",CAN,L,40,L
8477949,Alex Tuch,R,BUF,1996-05-10,222.0,"6' 4""",USA,R,89,R
8481532,Alex Turcotte,C,LAK,2001-02-26,185.0,"5' 11""",USA,L,39,C
8481568,Alex Vlasic,D,CHI,,,,,,,
8477505,Alex Wennberg,C,SEA,1994-09-22,196.0,"6' 2""",SWE,L,10,C
8480382,Alexandar Georgiev,G,COL,1996-02-10,179.0,"6' 1""",RUS,L,40,G
8480823,Alexander Alexeyev,D,WSH,1999-11-15,213.0,"6' 4""",RUS,L,27,D
8482222,Alexander Barabanov,L,SJS,1994-06-17,192.0,"5' 10""",RUS,L,94,L
8475788,Alexander Burmistrov,C,VAN,1991-10-21,180.0,"6' 1""",RUS,L,42,C
8471303,Alexander Edler,D,LAK,1986-04-21,212.0,"6' 3""",SWE,L,23,D
8482125,Alexander Holtz,R,NJD,2002-01-23,195.0,"6' 0""",SWE,R,10,R
8477021,Alexander Kerfoot,C,TOR,1994-08-11,175.0,"5' 10""",CAN,L,13,C
8471334,Alexander Nikulin,C,ARI,1985-08-25,198.0,"6' 1""",RUS,L,14,C
8474708,Alexander Pechurskiy,G,PIT,,,,,,,
8475755,Alexander Petrovic,D,EDM,1992-03-03,216.0,"6' 4""",CAN,R,6,D
8471228,Alexander Radulov,R,DAL,1986-07-05,205.0,"6' 1""",RUS,L,47,R
8481014,Alexander Romanov,D,NYI,2000-01-06,208.0,"6' 0""",RUS,L,27,D
8475130,Alexander Salak,G,FLA,1987-01-05,189.0,"6' 1""",CZE,L,53,G
8470120,Alexander Semin,R,MTL,1984-03-03,211.0,"6' 2""",RUS,R,13,R
8470257,Alexander Steen,L,STL,1984-03-01,211.0,"6' 0""",SWE,L,20,L
8470685,Alexander Sulzer,D,BUF,1984-05-30,198.0,"6' 1""",DEU,L,52,D
8480384,Alexander True,C,SEA,1997-07-17,200.0,"6' 5""",DNK,L,70,C
8475248,Alexander Urbom,D,WSH,1990-12-20,215.0,"6' 4""",SWE,L,33,D
8473605,Alexander Vasyunov,L,N.J,1988-04-22,210.0,"6' 1""",RUS,R,18,L
8480186,Alexander Volkov,R,ANA,1997-08-02,191.0,"6' 1""",RUS,L,92,R
8481630,Alexander Yelesin,D,CGY,1996-02-07,195.0,"6' 0""",RUS,R,45,D
8470719,Alexandre Bolduc,C,ARI,1985-06-26,200.0,"6' 3""",CAN,L,49,C
8470358,Alexandre Burrows,R,OTT,1981-04-11,197.0,"6' 1""",CAN,L,14,R
8478851,Alexandre Carrier,D,NSH,1996-10-08,174.0,"5' 11""",CAN,R,45,D
8479657,Alexandre Fortin,L,CHI,1997-02-25,184.0,"6' 0""",CAN,L,84,L
8468086,Alexandre Giroux,L,CBJ,1981-06-16,208.0,"6' 3""",CAN,L,28,L
8476414,Alexandre Grenier,R,VAN,1991-09-05,200.0,"6' 5""",CAN,R,28,R
8470678,Alexandre Picard,D,PIT,1985-07-05,215.0,"6' 3""",CAN,L,54,D
8471221,Alexandre Picard,L,CBJ,1985-10-09,206.0,"6' 2""",CAN,L,19,L
8480074,Alexandre Texier,C,CBJ,1999-09-13,187.0,"6' 0""",FRA,L,42,C
8471296,Alexei Emelin,D,NSH,1986-04-25,218.0,"6' 2""",RUS,L,25,D
8482246,Alexei Melnichuk,G,S.J,1998-06-29,190.0,"6' 2""",RUS,L,1,G
8467412,Alexei Ponikarovsky,L,N.J,1980-04-09,225.0,"6' 4""",UKR,L,12,L
8467909,Alexei Semenov,D,S.J,1981-04-10,245.0,"6' 6""",RUS,L,21,D
8476289,Alexey Marchenko,D,TOR,1992-01-02,210.0,"6' 3""",RUS,R,3,D
8480281,Alexey Toropchenko,R,STL,1999-06-25,222.0,"6' 6""",RUS,L,65,R
8482109,Alexis Lafrenire,L,NYR,2001-10-11,193.0,"6' 2""",CAN,L,13,L
8481656,Aliaksei Protas,C,WSH,2001-01-06,225.0,"6' 6""",BLR,L,59,C
8474057,Allen York,G,CBJ,1989-06-17,188.0,"6' 3""",CAN,L,41,G
8478075,Anders Bjork,L,CHI,1996-08-05,190.0,"6' 0""",USA,L,10,L
8459443,Anders Eriksson,D,NYR,1975-01-09,224.0,"6' 3""",SWE,L,25,D
8475314,Anders Lee,L,NYI,1990-07-03,231.0,"6' 3""",USA,L,27,L
8474765,Anders Lindback,G,ARI,1988-05-03,215.0,"6' 6""",SWE,L,39,G
8475195,Anders Nilsson,G,OTT,1990-03-19,232.0,"6' 6""",SWE,L,31,G
8470378,Andre Benoit,D,STL,1984-01-06,190.0,"5' 11""",CAN,L,48,D
8477444,Andre Burakovsky,L,SEA,1995-02-09,201.0,"6' 3""",SWE,L,65,L
8470301,Andre Deveaux,C,NYR,1984-02-23,239.0,"6' 3""",BHS,R,56,C
8474670,Andre Petersson,R,OTT,1990-09-11,175.0,"5' 9""",SWE,R,20,R
8460639,Andre Roy,R,CGY,1975-02-08,229.0,"6' 4""",USA,L,27,R
8476960,Andreas Athanasiou,C,CHI,1994-08-06,188.0,"6' 2""",CAN,L,72,C
8480158,Andreas Borgman,D,T.B,1995-06-18,199.0,"6' 0""",SWE,L,55,D
8477971,Andreas Englund,D,CHI,1996-01-21,189.0,"6' 3""",SWE,L,39,D
8475372,Andreas Engqvist,C,MTL,1987-12-23,199.0,"6' 4""",SWE,R,63,C
8477341,Andreas Johnsson,L,SJS,1994-11-21,181.0,"5' 10""",SWE,L,18,L
8468534,Andreas Lilja,D,PHI,1975-07-13,220.0,"6' 3""",SWE,L,6,D
8478561,Andreas Martinsen,L,CHI,1990-06-13,229.0,"6' 3""",NOR,L,29,L
8473568,Andreas Nodl,R,CAR,1987-02-28,196.0,"6' 1""",AUT,L,14,R
8474154,Andreas Thuresson,R,NSH,1987-11-18,206.0,"6' 1""",SWE,R,12,R
8481642,Andrei Chibisov,R,WPG,1993-02-26,227.0,"6' 4""",RUS,L,76,R
8470603,Andrei Kostitsyn,L,NSH,1985-02-03,214.0,"6' 0""",BLR,L,46,L
8483808,Andrei Kuzmenko,L,VAN,1996-02-04,194.0,"5' 11""",RUS,R,96,L
8474681,Andrei Loktionov,C,CAR,1990-05-30,190.0,"5' 11""",RUS,L,8,C
8467496,Andrei Markov,D,MTL,1978-12-20,200.0,"6' 0""",RUS,L,79,D
8478842,Andrei Mironov,D,COL,1994-07-29,194.0,"6' 3""",RUS,L,94,D
8480830,Andrei Svechnikov,R,CAR,2000-03-26,195.0,"6' 2""",RUS,L,37,R
8476883,Andrei Vasilevskiy,G,TBL,1994-07-25,207.0,"6' 3""",RUS,L,88,G
8471236,Andrej Meszaros,D,BUF,1985-10-13,223.0,"6' 2""",SVK,L,41,D
8475250,Andrej Nestrasil,C,CAR,1991-02-22,200.0,"6' 3""",CZE,L,15,C
8471284,Andrej Sekera,D,DAL,1986-06-08,200.0,"6' 0""",SVK,L,2,D
8477205,Andrej Sustr,D,ANA,1990-11-29,217.0,"6' 7""",CZE,R,62,D
8475461,Andrew Agozzino,L,OTT,1991-01-03,187.0,"5' 10""",CAN,L,26,L
8469626,Andrew Alberts,D,VAN,1981-06-30,218.0,"6' 5""",USA,L,41,D
8473550,Andrew Bodnarchuk,D,COL,1988-07-11,195.0,"5' 11""",CAN,L,44,D
8459596,Andrew Brunette,L,CHI,1973-08-24,215.0,"6' 1""",CAN,L,15,L
8474638,Andrew Campbell,D,TOR,1988-02-04,205.0,"6' 4""",CAN,L,6,D
8471699,Andrew Cogliano,C,COL,1987-06-14,177.0,"5' 10""",CAN,L,7,L
8477429,Andrew Copp,C,DET,1994-07-08,206.0,"6' 1""",USA,L,9,C
8476020,Andrew Crescenzi,C,L.A,1992-07-29,207.0,"6' 5""",CAN,L,47,C
8471956,Andrew Desjardins,L,CHI,1986-07-27,195.0,"6' 1""",CAN,L,11,L
8473682,Andrew Ebbett,C,PIT,1983-01-02,174.0,"5' 9""",CAN,L,25,C
8466333,Andrew Ference,D,EDM,1979-03-17,182.0,"5' 11""",CAN,L,21,D
8471409,Andrew Gordon,R,VAN,1985-12-13,194.0,"6' 0""",CAN,R,20,R
8477202,Andrew Hammond,G,NJD,1988-02-11,223.0,"6' 2""",CAN,L,35,G
8467927,Andrew Hutchinson,D,PIT,1980-03-24,195.0,"6' 2""",USA,R,8,D
8470838,Andrew Joudrey,C,CBJ,1984-07-15,185.0,"5' 10""",CAN,L,29,C
8471217,Andrew Ladd,L,ARI,1985-12-12,192.0,"6' 3""",CAN,L,16,L
8473584,Andrew MacDonald,D,PHI,1986-09-07,204.0,"6' 1""",CAN,L,47,D
8474748,Andrew MacWilliam,D,TOR,1990-03-25,223.0,"6' 2""",CAN,L,27,D
8478233,Andrew Mangiapane,L,CGY,1996-04-04,184.0,"5' 10""",CAN,L,88,L
8477249,Andrew Miller,C,EDM,1988-09-18,181.0,"5' 10""",USA,R,72,C
8469685,Andrew Murray,C,STL,1981-11-06,210.0,"6' 2""",CAN,L,23,C
8479369,Andrew Peeke,D,CBJ,1998-03-17,194.0,"6' 3""",USA,R,2,D
8467355,Andrew Peters,L,N.J,1980-05-05,240.0,"6' 4""",CAN,L,11,L
8479249,Andrew Poturalski,C,CAR,1994-01-14,189.0,"5' 11""",USA,R,29,C
8467453,Andrew Raycroft,G,DAL,1980-05-04,180.0,"6' 1""",CAN,L,30,G
8476381,Andrew Shaw,R,CHI,1991-07-20,182.0,"5' 11""",CAN,R,65,R
8477092,Andrey Makarov,G,BUF,1993-04-20,194.0,"6' 2""",RUS,L,1,G
8476388,Andrey Pedan,D,VAN,1993-07-03,213.0,"6' 5""",LTU,L,73,D
8471848,Andrey Zubarev,D,ATL,1987-03-03,210.0,"6' 1""",RUS,L,51,D
8476404,Andy Andreoff,C,NYI,,,,,,,
8472382,Andy Greene,D,NYI,1982-10-30,190.0,"5' 11""",USA,L,6,D
8468517,Andy Hilbert,L,MIN,1981-02-06,188.0,"5' 10""",USA,L,11,L
8468434,Andy McDonald,L,STL,1977-08-25,175.0,"5' 10""",CAN,L,10,L
8476206,Andy Miele,C,ARI,1988-04-15,169.0,"5' 7""",USA,L,37,C
8467304,Andy Sutton,D,EDM,1975-03-10,245.0,"6' 6""",CAN,L,25,D
8476407,Andy Welinski,D,ANA,1993-04-27,201.0,"6' 1""",USA,R,45,D
8471188,Andy Wozniewski,D,BOS,1980-05-25,225.0,"6' 5""",USA,L,53,D
8474557,Anssi Salmela,D,N.J,1984-08-13,200.0,"6' 1""",FIN,L,29,D
8467511,Antero Niittymaki,G,S.J,1980-06-18,195.0,"6' 1""",FIN,L,30,G
8478074,Anthony Angello,R,PIT,1996-03-06,210.0,"6' 5""",USA,R,57,C
8478463,Anthony Beauvillier,L,VAN,1997-06-08,182.0,"5' 11""",CAN,L,18,L
8475868,Anthony Bitetto,D,NYR,1990-07-15,210.0,"6' 1""",USA,L,2,D
8478519,Anthony Cirelli,C,TBL,1997-07-15,180.0,"6' 0""",CAN,L,71,C
8477407,Anthony Duclair,L,FLA,1995-08-26,191.0,"5' 11""",CAN,L,91,L
8479447,Anthony Greco,R,NYR,1993-09-30,176.0,"5' 10""",USA,R,76,R
8477511,Anthony Mantha,R,WSH,1994-09-16,225.0,"6' 5""",CAN,L,39,R
8474061,Anthony Peluso,R,CGY,1989-04-18,225.0,"6' 3""",CAN,R,16,R
8478409,Anthony Richard,C,MTL,1996-12-20,163.0,"5' 10""",CAN,L,90,C
8470618,Anthony Stewart,R,CAR,1985-01-05,230.0,"6' 3""",CAN,R,21,R
8476932,Anthony Stolarz,G,ANA,1994-01-20,210.0,"6' 6""",USA,L,41,G
8477312,Antoine Bibeau,G,COL,1994-05-01,213.0,"6' 3""",CAN,L,34,G
8474849,Antoine Roussel,L,ARI,1989-11-21,199.0,"5' 11""",FRA,L,26,L
8468535,Antoine Vermette,C,ANA,1982-07-20,197.0,"6' 1""",CAN,L,50,C
8470265,Anton Babchuk,D,CGY,1984-05-06,200.0,"6' 5""",UKR,R,33,D
8477289,Anton Belov,D,EDM,1986-07-29,218.0,"6' 4""",RUS,L,77,D
8477320,Anton Blidh,L,COL,1995-03-14,201.0,"6' 0""",SWE,L,81,L
8476341,Anton Forsberg,G,OTT,1992-11-27,192.0,"6' 3""",SWE,L,31,G
8471418,Anton Khudobin,G,DAL,1986-05-07,200.0,"5' 11""",RUS,L,35,G
8475270,Anton Klementyev,D,NYI,1990-03-25,198.0,"6' 1""",RUS,R,48,D
8475165,Anton Lander,C,EDM,1991-04-24,184.0,"6' 0""",SWE,L,51,C
8483641,Anton Levtchi,L,FLA,,,,,,,
8478073,Anton Lindholm,D,COL,1994-11-29,191.0,"5' 11""",SWE,L,54,D
8482113,Anton Lundell,C,FLA,2001-10-03,185.0,"6' 1""",FIN,L,15,C
8475210,Anton Rodin,R,VAN,1990-11-21,186.0,"6' 0""",SWE,L,38,R
8477415,Anton Slepyshev,L,EDM,1994-05-13,221.0,"6' 2""",RUS,R,58,L
8471873,Anton Stralman,D,BOS,1986-08-01,190.0,"5' 11""",SWE,R,6,D
8468501,Anton Volchenkov,D,NSH,1982-02-25,220.0,"6' 1""",RUS,L,20,D
8481637,Anton Wedin,L,CHI,1993-03-01,195.0,"5' 11""",SWE,L,57,L
8468704,Antti Miettinen,R,WPG,1980-07-03,190.0,"6' 0""",FIN,R,20,R
8474550,Antti Niemi,G,MTL,1983-08-29,209.0,"6' 2""",FIN,L,37,G
8473973,Antti Pihlstrom,L,NSH,1984-10-22,190.0,"5' 11""",FIN,L,42,L
8477293,Antti Raanta,G,CAR,1989-05-12,195.0,"6' 0""",FIN,L,32,G
8480965,Antti Suomela,C,S.J,1994-03-17,180.0,"6' 0""",FIN,L,40,C
8471685,Anze Kopitar,C,LAK,1987-08-24,225.0,"6' 3""",SVN,L,11,C
8482964,Arber Xhekaj,D,MTL,2001-01-30,238.0,"6' 4""",CAN,L,72,D
8480242,Arnaud Durandeau,L,NYI,1999-01-14,185.0,"6' 0""",CAN,L,16,L
8465025,Arron Asham,R,NYR,1978-04-13,210.0,"5' 11""",CAN,R,45,R
8473573,Artem Anisimov,C,OTT,1988-05-24,198.0,"6' 4""",RUS,L,15,C
8482245,Artem Zub,D,OTT,1995-10-03,198.0,"6' 2""",RUS,R,2,D
8481552,Artemi Kniazev,D,SJS,2001-01-04,178.0,"5' 11""",RUS,L,25,D
8478550,Artemi Panarin,L,NYR,1991-10-30,168.0,"5' 11""",RUS,R,9,L
8481560,Arthur Kaliyev,R,LAK,2001-06-26,190.0,"6' 2""",USA,L,34,R
8481626,Arttu Ruotsalainen,C,BUF,1997-10-29,185.0,"5' 9""",FIN,L,25,C
8477476,Artturi Lehkonen,L,COL,1995-07-04,177.0,"6' 0""",FIN,L,62,L
8473459,Arturs Kulda,D,WPG,1988-07-25,215.0,"6' 2""",LVA,L,23,D
8481668,Arturs Silovs,G,VAN,2001-03-22,203.0,"6' 4""",LVA,L,31,G
8481501,Artyom Zagidulin,G,CGY,1995-08-08,180.0,"6' 2""",RUS,L,50,G
8482821,Arvid Soderblom,G,CHI,1999-08-19,180.0,"6' 3""",SWE,L,40,G
8477085,Ashton Sautner,D,VAN,1994-05-27,195.0,"6' 1""",CAN,L,59,D
8478512,Austin Czarnik,C,DET,1992-12-12,170.0,"5' 9""",USA,R,27,C
8478040,Austin Poganski,R,WPG,1996-02-16,198.0,"6' 1""",USA,R,53,R
8480467,Austin Strand,D,ANA,1997-02-17,216.0,"6' 3""",CAN,R,71,D
8478455,Austin Wagner,L,L.A,1997-06-23,185.0,"6' 1""",CAN,L,51,L
8475766,Austin Watson,L,OTT,1992-01-13,204.0,"6' 4""",USA,R,51,L
8479318,Auston Matthews,C,TOR,1997-09-17,223.0,"6' 3""",USA,L,34,C
8479536,Axel Jonsson-Fjallby,L,WPG,1998-02-10,189.0,"6' 1""",SWE,L,45,L
8470647,B.J. Crombeen,R,ARI,1985-07-10,209.0,"6' 2""",USA,R,44,R
8476624,Barclay Goodrow,C,NYR,1993-02-26,215.0,"6' 2""",CAN,L,23,R
8467890,Barret Jackman,D,NSH,1981-03-05,203.0,"6' 0""",CAN,L,5,D
8480849,Barrett Hayton,C,ARI,2000-06-09,190.0,"6' 1""",CAN,L,29,C
8470199,Barry Tallackson,R,N.J,1983-04-14,215.0,"6' 5""",USA,R,41,R
8475761,Beau Bennett,R,STL,1991-11-27,195.0,"6' 2""",USA,R,78,R
8479359,Beck Malenstyn,L,WSH,1998-02-04,200.0,"6' 3""",CAN,L,47,L
8471750,Ben Bishop,G,DAL,1986-11-21,215.0,"6' 7""",USA,L,30,G
8475279,Ben Chiarot,D,DET,1991-05-09,219.0,"6' 3""",CAN,L,7,D
8470280,Ben Eager,L,EDM,1984-01-22,226.0,"6' 2""",CAN,L,55,L
8479416,Ben Gleason,D,DAL,1998-03-25,185.0,"6' 1""",USA,L,63,D
8466300,Ben Guite,R,NSH,1978-07-17,210.0,"6' 1""",CAN,R,40,R
8475196,Ben Hanowski,R,CGY,1990-10-18,210.0,"6' 2""",USA,L,58,R
8477433,Ben Harpur,D,NYR,1995-01-12,222.0,"6' 6""",CAN,L,67,D
8475603,Ben Holmstrom,C,PHI,1987-04-09,203.0,"6' 1""",USA,R,26,C
8477018,Ben Hutton,D,VGK,1993-04-20,206.0,"6' 2""",CAN,L,27,D
8480259,Ben Jones,C,VGK,1999-02-26,187.0,"6' 0""",CAN,L,64,C
8473933,Ben Lovejoy,D,DAL,1984-02-20,205.0,"6' 1""",USA,R,12,D
8473493,Ben Maxwell,C,WPG,1988-03-30,195.0,"6' 1""",CAN,L,49,C
8481827,Ben McCartney,L,ARI,2001-07-13,182.0,"6' 0""",CAN,L,90,L
8483570,Ben Meyers,C,COL,1998-11-15,194.0,"5' 11""",USA,L,59,C
8468868,Ben Ondrus,R,TOR,1982-06-25,208.0,"5' 11""",CAN,R,25,R
8475681,Ben Scrivens,G,MTL,1986-09-11,181.0,"6' 2""",CAN,L,40,G
8475328,Ben Sexton,C,OTT,,,,,,,
8474727,Ben Smith,R,TOR,1988-07-11,203.0,"5' 11""",USA,R,18,R
8476043,Ben Street,C,N.J,1987-02-13,190.0,"6' 0""",CAN,L,46,C
8478049,Ben Thomas,D,T.B,1996-05-28,187.0,"6' 1""",CAN,R,56,D
8476526,Ben Thomson,L,N.J,1993-01-16,205.0,"6' 3""",CAN,L,43,L
8471372,Ben Walter,C,N.J,1984-05-11,190.0,"6' 1""",CAN,L,36,C
8473600,Benn Ferriero,R,VAN,1987-04-29,195.0,"5' 11""",USA,R,77,R
8471678,Benoit Pouliot,L,BUF,1986-09-29,200.0,"6' 3""",CAN,L,67,L
8480870,Benoit-Olivier Groulx,C,ANA,2000-02-06,195.0,"6' 2""",CAN,L,50,C
8475833,Bill Arnold,C,CGY,1992-05-13,193.0,"6' 0""",USA,R,46,C
8456464,Bill Guerin,R,PIT,1970-11-09,220.0,"6' 2""",USA,R,13,R
8474035,Bill Sweatt,L,VAN,1988-09-21,190.0,"6' 0""",USA,L,42,L
8472361,Bill Thomas,R,FLA,1983-06-20,185.0,"6' 1""",USA,R,37,R
8482399,Billy Sweezey,D,CBJ,1996-02-06,206.0,"6' 1""",USA,R,6,D
8467361,Blair Betts,C,PHI,1980-02-16,210.0,"6' 3""",CAN,L,11,C
8471767,Blair Jones,C,PHI,1986-09-27,216.0,"6' 2""",CAN,R,42,C
8476399,Blake Coleman,C,CGY,1991-11-28,200.0,"5' 11""",USA,L,20,C
8471260,Blake Comeau,L,DAL,1986-02-18,200.0,"6' 1""",CAN,R,15,L
8473608,Blake Geoffrion,C,MTL,1988-02-03,190.0,"6' 1""",USA,L,57,C
8479595,Blake Hillman,D,CHI,1996-01-26,193.0,"6' 1""",USA,L,55,D
8481481,Blake Lizotte,C,LAK,,,,,,,
8476370,Blake Pietila,L,N.J,1993-02-20,200.0,"5' 11""",USA,L,56,L
8478480,Blake Speers,C,ARI,1997-01-02,185.0,"5' 11""",CAN,R,74,C
8471218,Blake Wheeler,R,WPG,1986-08-31,225.0,"6' 5""",USA,R,26,R
8477500,Bo Horvat,C,NYI,1995-04-05,215.0,"6' 0""",CAN,L,53,C
8481553,Bobby Brink,R,PHI,2001-07-08,166.0,"5' 8""",USA,R,46,R
